company_name,cin,sector,cohort,financial_year,engine_probability,engine_score_0_100,engine_risk_band,audit_probability,audit_score_0_100,audit_risk_band,engine_audit_gap,model_alignment,rule_flag_count,critical_rule_count,decision_bucket,latest_overall_risk_percentile,latest_sector_risk_percentile,latest_engine_rank,imputed_feature_fraction,top_reasons,rule_flags_triggered,support_summary,engine_model_name,audit_model_name,engine_model_version,audit_model_version,engine_threshold,audit_threshold,engine_class,audit_class
JVL Agro Industries,L15140UP1989PLC011396,FMCG / Foods / Agro,defaulter,2018,0.7521601957011319,75.22,High,0.7334623655873772,73.35,High,0.0186978301137547,agree,5,2,urgent_review,90.0,57.14,11,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Operating cash flow is negative despite positive revenue. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_operating_cash_flow|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Operating cash flow is negative despite positive revenue.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Metalyst Forgings,L28910MH1977PLC019569,Engineering / Manufacturing,defaulter,2016,0.7521466429126548,75.21,High,0.7377921249189084,73.78,High,0.014354517993746319,agree,8,3,urgent_review,89.0,92.31,12,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
SVOGL Oil Gas and Energy,L74899DL1989PLC038542,Oil & Gas / Energy,defaulter,2015,0.752140713637933,75.21,High,0.7387263466863714,73.87,High,0.013414366951561618,agree,9,4,urgent_review,88.0,100.0,13,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
ABG Shipyard Ltd,L61200GJ1985PLC007730,Shipbuilding,defaulter,2016,0.752130758736122,75.21,High,0.7387284424621853,73.87,High,0.013402316273936732,agree,8,4,urgent_review,87.0,100.0,14,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|weak_liquidity|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Surya Pharmaceutical,L24232DL1992PLC227186,Pharma,defaulter,2014,0.7521260838627655,75.21,High,0.7387286432623204,73.87,High,0.01339744060044512,agree,7,3,urgent_review,86.0,100.0,15,0.3333333333333333,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Net profit margin is negative.",weak_interest_coverage|weak_liquidity|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Deccan Chronicle Holdings,L22122TG2002PLC040110,Media,defaulter,2012,0.7521225998325616,75.21,High,0.7376360762920343,73.76,High,0.014486523540527263,agree,10,5,urgent_review,84.0,100.0,17,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.",weak_interest_coverage|excessive_leverage|weak_liquidity|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 10 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Pratibha Industries,L45200MH1995PLC090760,Infrastructure,defaulter,2017,0.7521096697389213,75.21,High,0.7383726160091044,73.84,High,0.013737053729816928,agree,9,4,urgent_review,83.0,82.35,18,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Kingfisher Airlines,L85110KA1995PLC018045,Travel / Aviation / Hospitality,defaulter,2013,0.752101653501824,75.21,High,0.738728682607455,73.87,High,0.013372970894369063,agree,7,3,urgent_review,82.0,100.0,19,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Operating cash flow is negative despite positive revenue. | Net profit margin is negative.",weak_interest_coverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Operating cash flow is negative despite positive revenue.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
First Leasing Co of India,L65910TN1973PLC006423,NBFC / Leasing,defaulter,2013,0.7520550202359958,75.21,High,0.7238809768508839,72.39,High,0.02817404338511187,agree,4,2,urgent_review,81.0,100.0,20,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue. | Operating cash flow trend over the available years is negative.",excessive_leverage|negative_operating_cash_flow|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.; Operating cash flow trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
SpiceJet Ltd,L51909DL1984PLC288239,Travel / Aviation / Hospitality,defaulter,2023,0.7519466913632762,75.19,High,0.735844678086951,73.58,High,0.01610201327632521,agree,4,2,urgent_review,80.0,66.67,21,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Operating cash flow trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Operating cash flow trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Suzlon Energy Ltd,L40100GJ1995PLC025447,Oil & Gas / Energy,defaulter,2018,0.7518585988565601,75.19,High,0.7360501312034236,73.61,High,0.015808467653136593,agree,8,4,urgent_review,79.0,50.0,22,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Varun Industries,L28990MH1996PLC097945,Steel & Metals,defaulter,2013,0.7518558644056091,75.19,High,0.7371455393864792,73.71,High,0.014710325019129944,agree,10,5,urgent_review,78.0,75.0,23,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 10 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Punj Lloyd Ltd,L74899DL1988PLC033314,Infrastructure,defaulter,2018,0.7516728324478775,75.17,High,0.6670340105506652,66.7,High,0.08463882189721228,agree,1,1,urgent_review,77.0,76.47,24,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.",weak_interest_coverage,"ML probability 0.752 against threshold 0.400. 1 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Jyoti Structures Ltd,L45200MH1974PLC017494,Infrastructure,defaulter,2016,0.7516223861299007,75.16,High,0.7269640869933678,72.7,High,0.024658299136532946,agree,9,4,urgent_review,76.0,70.59,25,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Shree Ganesh Jewellery House,L36911WB2002PLC095086,Gems & Jewellery,defaulter,2015,0.7516098933589692,75.16,High,0.7386497137319223,73.86,High,0.012960179627046875,agree,11,6,urgent_review,75.0,91.67,26,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.",weak_interest_coverage|excessive_leverage|weak_liquidity|negative_operating_cash_flow|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 11 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Hanung Toys and Textiles,L74999DL1990PLC041722,Textiles,defaulter,2017,0.7516020079455756,75.16,High,0.738728682602875,73.87,High,0.012873325342700581,agree,3,1,urgent_review,74.0,100.0,27,0.0,Net profit margin is negative. | Revenue trend over the available years is negative. | Net profit margin deteriorated materially year over year.,negative_profit_margin|declining_revenue_trend|margin_drop,ML probability 0.752 against threshold 0.400. 3 rule-based red flag(s) were triggered. Key reasons: Net profit margin is negative.; Revenue trend over the available years is negative.; Net profit margin deteriorated materially year over year.,hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Shri Lakshmi Cotsyn,L17122UP1988PLC009985,Textiles,defaulter,2017,0.7515713492114257,75.16,High,0.7387247889456862,73.87,High,0.012846560265739493,agree,4,2,urgent_review,73.0,88.89,28,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Parekh Aluminex,L27203MH1994PLC080732,Engineering / Manufacturing,defaulter,2012,0.7514224362316939,75.14,High,0.7288738814342459,72.89,High,0.022548554797447995,agree,5,2,urgent_review,72.0,84.62,29,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue. | Operating cash flow trend over the available years is negative.",excessive_leverage|negative_operating_cash_flow|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike,"ML probability 0.751 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.; Operating cash flow trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Gammon India Ltd,L74999DL1922PLC000997,Infrastructure,defaulter,2017,0.7513897607250297,75.14,High,0.7385043085027216,73.85,High,0.01288545222230808,agree,8,5,urgent_review,71.0,64.71,30,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.",weak_interest_coverage|excessive_leverage|weak_liquidity|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|leverage_spike|margin_drop,"ML probability 0.751 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Lanco Infratech Ltd,L45200TG1993PLC015545,Infrastructure,defaulter,2016,0.7508002786645837,75.08,High,0.7096463713200597,70.96,High,0.041153907344523954,agree,7,4,urgent_review,70.0,58.82,31,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike,"ML probability 0.751 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,Infrastructure,defaulter,2018,0.7506028807028585,75.06,High,0.5352693683810822,53.53,High,0.21533351232177633,agree,2,2,urgent_review,69.0,52.94,32,0.0,"Current ratio is below 1, indicating a short-term liquidity deficit. | A qualified, adverse, or disclaimer audit opinion was detected.",weak_liquidity|qualified_audit_signal,"ML probability 0.751 against threshold 0.400. 2 rule-based red flag(s) were triggered. Key reasons: Current ratio is below 1, indicating a short-term liquidity deficit.; A qualified, adverse, or disclaimer audit opinion was detected.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Mawana Sugars Ltd,L15421DL2002PLC118184,FMCG / Foods / Agro,defaulter,2023,0.7503857270457372,75.04,High,0.7276180062272055,72.76,High,0.022767720818531734,agree,3,1,urgent_review,68.0,28.57,33,0.0,Contingent liabilities exceed 50% of net worth. | Operating cash flow trend over the available years is negative. | Borrowings trend over the available years is increasing.,large_contingent_liabilities|declining_cash_flow_trend|rising_borrowings_trend,ML probability 0.750 against threshold 0.400. 3 rule-based red flag(s) were triggered. Key reasons: Contingent liabilities exceed 50% of net worth.; Operating cash flow trend over the available years is negative.; Borrowings trend over the available years is increasing.,hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
Jaypee Infratech Ltd,L45203UP2007PLC033119,Infrastructure,defaulter,2016,0.7502656141149879,75.03,High,0.7140547658661497,71.41,High,0.036210848248838245,agree,5,2,urgent_review,67.0,47.06,34,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|margin_drop,"ML probability 0.750 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1
