company_name,cin,financial_year,cohort,sector,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,capex,opinion_type,going_concern_uncertainty,emphasis_of_matter,fraud_reported,auditor_name,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct
Rajesh Exports Limited,L36911KA1990PLC020815,2017,non_defaulter,Gems & Jewellery,44948.0,461.0,351.0,2.0,486.0,839.0,3742.0,5435.0,,,21199.0,,,,3712.0,1596.0,-97.0,622.0,2122.0,,,,,,,,,,,
Rajesh Exports Limited,L36911KA1990PLC020815,2016,non_defaulter,Gems & Jewellery,38586.0,475.0,308.0,2.0,510.0,820.0,3281.0,4462.0,,,19081.0,,,,3251.0,722.0,-469.0,292.0,544.0,,,,,,,,,,,
Rajesh Exports Limited,L36911KA1990PLC020815,2015,non_defaulter,Gems & Jewellery,37919.0,264.0,419.0,2.0,333.0,754.0,2841.0,3826.0,,,15527.0,,,,2811.0,3788.0,-51.0,283.0,4020.0,,,,,,,,,,,
Raymond Limited,L17117MH1925PLC001208,2017,non_defaulter,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Limited,L17117MH1925PLC001208,2016,non_defaulter,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Limited,L17117MH1925PLC001208,2015,non_defaulter,Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKF India Limited,L29130MH1961PLC011980,2017,non_defaulter,Engineering / Manufacturing,2631.0,244.0,0.0,48.0,376.0,424.0,1811.0,34.0,,,2304.0,,,,1758.0,115.0,147.0,-126.0,136.0,,,,,,,,,,,
SKF India Limited,L29130MH1961PLC011980,2016,non_defaulter,Engineering / Manufacturing,2997.0,256.0,0.0,68.0,394.0,462.0,1665.0,65.0,,,2149.0,,,,1612.0,26.0,-174.0,49.0,-99.0,,,,,,,,,,,
SKF India Limited,L29130MH1961PLC011980,2015,non_defaulter,Engineering / Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaeffler India Limited,L29130GJ1962PLC001167,2017,non_defaulter,Engineering / Manufacturing,3941.0,388.0,11.0,138.0,589.0,738.0,2326.0,69.0,,,3180.0,,,,2309.0,401.0,-270.0,-88.0,43.0,,,,,,,,,,,
Schaeffler India Limited,L29130GJ1962PLC001167,2016,non_defaulter,Engineering / Manufacturing,1795.0,195.0,2.0,64.0,299.0,365.0,1476.0,0.0,,,1854.0,,,,1459.0,193.0,-139.0,-22.0,32.0,,,,,,,,,,,
Schaeffler India Limited,L29130GJ1962PLC001167,2015,non_defaulter,Engineering / Manufacturing,1711.0,197.0,3.0,66.0,294.0,363.0,1290.0,0.0,,,1655.0,,,,1273.0,182.0,-222.0,-17.0,-57.0,,,,,,,,,,,
Senco Gold Limited,L36911WB1994PLC063674,2017,non_defaulter,Gems & Jewellery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senco Gold Limited,L36911WB1994PLC063674,2016,non_defaulter,Gems & Jewellery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senco Gold Limited,L36911WB1994PLC063674,2015,non_defaulter,Gems & Jewellery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Limited,L28920MH1957PLC010839,2017,non_defaulter,Engineering / Manufacturing,11015.0,1134.0,32.0,197.0,1669.0,1898.0,7705.0,0.0,,,13123.0,,,,7634.0,554.0,1313.0,-260.0,1607.0,,,,,,,,,,,
Siemens Limited,L28920MH1957PLC010839,2016,non_defaulter,Engineering / Manufacturing,10810.0,2917.0,35.0,226.0,3942.0,4203.0,6821.0,0.0,,,11954.0,,,,6750.0,508.0,240.0,-1612.0,-864.0,,,,,,,,,,,
Siemens Limited,L28920MH1957PLC010839,2015,non_defaulter,Engineering / Manufacturing,10512.0,1183.0,28.0,216.0,1696.0,1940.0,5126.0,0.0,,,10528.0,,,,5055.0,618.0,625.0,-268.0,975.0,,,,,,,,,,,
Steel Authority of India Limited,L27109DL1973GOI006454,2016,non_defaulter,Steel & Metals,38746.0,-4021.0,2300.0,2402.0,-7008.0,-2306.0,39196.0,34980.0,,,100564.0,,,,35065.0,3800.0,-4558.0,743.0,-16.0,,,,,,,,,,,
Steel Authority of India Limited,L27109DL1973GOI006454,2015,non_defaulter,Steel & Metals,45660.0,2093.0,1454.0,1773.0,2359.0,5586.0,43505.0,29898.0,,,99542.0,,,,39374.0,2744.0,-5160.0,2362.0,-55.0,,,,,,,,,,,
Steel Authority of India Limited,L27109DL1973GOI006454,2014,non_defaulter,Steel & Metals,46567.0,2616.0,968.0,1717.0,3225.0,5910.0,42667.0,25281.0,,,92165.0,,,,38536.0,5883.0,-7192.0,1247.0,-62.0,,,,,,,,,,,
Sun Pharmaceutical Industries Limited,L24230GJ1993PLC019050,2016,non_defaulter,Pharma,7719.0,-1088.0,574.0,464.0,-1082.0,-44.0,21891.0,5829.0,,,34266.0,,,,21650.0,-1254.0,3640.0,-2368.0,17.0,,,,,,,,,,,
Sun Pharmaceutical Industries Limited,L24230GJ1993PLC019050,2015,non_defaulter,Pharma,8028.0,-1474.0,551.0,661.0,-1559.0,-347.0,22786.0,6811.0,,,37446.0,,,,22579.0,149.0,2642.0,-2674.0,117.0,,,,,,,,,,,
Sun Pharmaceutical Industries Limited,L24230GJ1993PLC019050,2014,non_defaulter,Pharma,2829.0,-2829.0,18.0,102.0,-2801.0,-2681.0,7408.0,2409.0,,,14364.0,,,,7201.0,-2405.0,517.0,1742.0,-145.0,,,,,,,,,,,
Tata Elxsi Limited,L85110KA1989PLC009968,2017,non_defaulter,IT / Services,1237.0,175.0,1.0,27.0,264.0,292.0,558.0,0.0,,,715.0,,,,527.0,144.0,28.0,-52.0,120.0,,,,,,,,,,,
Tata Elxsi Limited,L85110KA1989PLC009968,2016,non_defaulter,IT / Services,1075.0,155.0,1.0,23.0,236.0,260.0,386.0,0.0,,,600.0,,,,355.0,121.0,-31.0,-41.0,49.0,,,,,,,,,,,
Tata Elxsi Limited,L85110KA1989PLC009968,2015,non_defaulter,IT / Services,849.0,103.0,1.0,25.0,156.0,182.0,283.0,0.0,,,465.0,,,,252.0,143.0,-29.0,-32.0,83.0,,,,,,,,,,,
Tata Steel Limited,L27100WB1907PLC001473,2016,non_defaulter,Steel & Metals,38269.0,956.0,1848.0,2962.0,1543.0,6353.0,48912.0,30844.0,,,105114.0,,,,47941.0,7372.0,-4352.0,-2540.0,480.0,,,,,,,,,,,
Tata Steel Limited,L27100WB1907PLC001473,2015,non_defaulter,Steel & Metals,41785.0,6439.0,1976.0,1998.0,8509.0,12483.0,66663.0,28198.0,,,115864.0,,,,65692.0,4852.0,-2382.0,-2957.0,-487.0,,,,,,,,,,,
Tata Steel Limited,L27100WB1907PLC001473,2014,non_defaulter,Steel & Metals,41711.0,6412.0,1821.0,1929.0,9714.0,13464.0,61148.0,27917.0,,,111040.0,,,,60177.0,12433.0,-9837.0,-3826.0,-1231.0,,,,,,,,,,,
Thermax Limited,L29299PN1980PLC022787,2017,non_defaulter,Engineering / Manufacturing,3764.0,145.0,4.0,65.0,275.0,344.0,2410.0,66.0,,,4596.0,,,,2386.0,346.0,-151.0,-115.0,80.0,,,,,,,,,,,
Thermax Limited,L29299PN1980PLC022787,2016,non_defaulter,Engineering / Manufacturing,4338.0,297.0,5.0,61.0,423.0,489.0,2342.0,91.0,,,4692.0,,,,2318.0,288.0,-170.0,-119.0,-1.0,,,,,,,,,,,
Thermax Limited,L29299PN1980PLC022787,2015,non_defaulter,Engineering / Manufacturing,4603.0,336.0,20.0,64.0,497.0,581.0,2267.0,105.0,,,5011.0,,,,2243.0,294.0,-16.0,-237.0,41.0,,,,,,,,,,,
Timken India Limited,L29130KA1996PLC048230,2017,non_defaulter,Engineering / Manufacturing,1056.0,97.0,1.0,29.0,138.0,168.0,618.0,8.0,,,877.0,,,,550.0,164.0,-126.0,-5.0,34.0,,,,,,,,,,,
Timken India Limited,L29130KA1996PLC048230,2016,non_defaulter,Engineering / Manufacturing,1042.0,92.0,1.0,22.0,142.0,165.0,530.0,4.0,,,702.0,,,,462.0,101.0,-67.0,1.0,36.0,,,,,,,,,,,
Timken India Limited,L29130KA1996PLC048230,2015,non_defaulter,Engineering / Manufacturing,926.0,81.0,1.0,17.0,122.0,140.0,438.0,3.0,,,585.0,,,,370.0,42.0,-23.0,-26.0,-7.0,,,,,,,,,,,
Titan Company Limited,L74999TZ1984PLC001456,2017,non_defaulter,Gems & Jewellery,12897.0,762.0,37.0,93.0,1033.0,1163.0,4312.0,1867.0,,,8318.0,,,,4223.0,1768.0,-1022.0,-154.0,592.0,,,,,,,,,,,
Titan Company Limited,L74999TZ1984PLC001456,2016,non_defaulter,Gems & Jewellery,11084.0,698.0,42.0,87.0,888.0,1017.0,3535.0,113.0,,,6308.0,,,,3446.0,567.0,-151.0,-505.0,-89.0,,,,,,,,,,,
Titan Company Limited,L74999TZ1984PLC001456,2015,non_defaulter,Gems & Jewellery,11903.0,823.0,81.0,87.0,1056.0,1224.0,3092.0,100.0,,,5872.0,,,,3003.0,508.0,-124.0,-1004.0,-620.0,,,,,,,,,,,
Trident Limited,L17119PB1990PLC010365,2017,non_defaulter,Textiles,4617.0,337.0,141.0,412.0,438.0,991.0,2725.0,2849.0,,,6150.0,,,,2215.0,1000.0,-168.0,-808.0,23.0,,,,,,,,,,,
Trident Limited,L17119PB1990PLC010365,2016,non_defaulter,Textiles,3665.0,242.0,145.0,337.0,282.0,764.0,2415.0,3503.0,,,6506.0,,,,1906.0,533.0,-1199.0,667.0,1.0,,,,,,,,,,,
Trident Limited,L17119PB1990PLC010365,2015,non_defaulter,Textiles,3735.0,118.0,206.0,321.0,168.0,695.0,1456.0,2580.0,,,4504.0,,,,947.0,544.0,-114.0,-432.0,-2.0,,,,,,,,,,,
UltraTech Cement Limited,L26940MH2000PLC128420,2016,non_defaulter,Cement,23709.0,2370.0,512.0,1297.0,3299.0,5108.0,21631.0,8250.0,,,38291.0,,,,21357.0,4354.0,-3757.0,-582.0,15.0,,,,,,,,,,,
UltraTech Cement Limited,L26940MH2000PLC128420,2015,non_defaulter,Cement,21911.0,2015.0,547.0,1133.0,2886.0,4566.0,18857.0,7414.0,,,35215.0,,,,18583.0,4083.0,-1879.0,-2267.0,-63.0,,,,,,,,,,,
UltraTech Cement Limited,L26940MH2000PLC128420,2014,non_defaulter,Cement,19384.0,2144.0,319.0,1052.0,2776.0,4147.0,17097.0,5199.0,,,29754.0,,,,16823.0,3242.0,-2210.0,-897.0,135.0,,,,,,,,,,,
Vaibhav Global Limited,L36911RJ1989PLC004945,2017,non_defaulter,Gems & Jewellery,482.0,22.0,5.0,8.0,28.0,41.0,508.0,72.0,,,631.0,,,,475.0,33.0,-2.0,-25.0,6.0,,,,,,,,,,,
Vaibhav Global Limited,L36911RJ1989PLC004945,2016,non_defaulter,Gems & Jewellery,361.0,18.0,4.0,6.0,28.0,38.0,476.0,93.0,,,633.0,,,,444.0,-46.0,-15.0,30.0,-31.0,,,,,,,,,,,
Vaibhav Global Limited,L36911RJ1989PLC004945,2015,non_defaulter,Gems & Jewellery,404.0,30.0,5.0,6.0,40.0,51.0,453.0,60.0,,,556.0,,,,421.0,53.0,30.0,-55.0,28.0,,,,,,,,,,,
