company_name,cin,sector,cohort,financial_year,engine_probability,engine_score_0_100,engine_risk_band,audit_probability,audit_score_0_100,audit_risk_band,engine_audit_gap,model_alignment,rule_flag_count,critical_rule_count,decision_bucket,overall_risk_percentile,sector_risk_percentile,sector_year_risk_percentile,imputed_feature_fraction,top_reasons,rule_flags_triggered,support_summary,engine_model_name,audit_model_name,engine_model_version,audit_model_version,engine_threshold,audit_threshold,engine_class,audit_class,engine_rank_overall
Shree Renuka Sugars Limited,L01542KA1995PLC019046,FMCG / Foods / Agro,defaulter,2022,0.7521865858974145,75.22,High,0.73246409847613,73.25,High,0.019722487421284463,agree,3,1,urgent_review,96.67,76.19,66.67,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow trend over the available years is negative. | Borrowings trend over the available years is increasing.",excessive_leverage|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 3 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow trend over the available years is negative.; Borrowings trend over the available years is increasing.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,11
REI Agro,L14200WB1994PLC104573,FMCG / Foods / Agro,defaulter,2014,0.7521856455236166,75.22,High,0.7360280762255142,73.6,High,0.016157569298102303,agree,6,3,urgent_review,96.33,71.43,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,12
Moser Baer India,L51909DL1983PLC015418,Engineering / Manufacturing,defaulter,2016,0.7521850078478715,75.22,High,0.7387286772535053,73.87,High,0.013456330594366128,agree,6,2,urgent_review,96.0,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,13
Era Infra Engineering,L74899DL1990PLC041350,Infrastructure,defaulter,2017,0.752183726167995,75.22,High,0.7386161068895327,73.86,High,0.013567619278462284,agree,4,2,urgent_review,95.67,96.08,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,14
Era Infra Engineering,L74899DL1990PLC041350,Infrastructure,defaulter,2016,0.7521827009507678,75.22,High,0.7384928104267757,73.85,High,0.013689890523992054,agree,5,2,urgent_review,95.33,94.12,88.24,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,15
Surya Pharmaceutical,L24232DL1992PLC227186,Pharma,defaulter,2013,0.752181129283589,75.22,High,0.7385928286550033,73.86,High,0.013588300628585737,agree,7,3,urgent_review,94.67,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Net profit margin is negative.",weak_interest_coverage|weak_liquidity|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,17
Moser Baer India,L51909DL1983PLC015418,Engineering / Manufacturing,defaulter,2015,0.752169966094224,75.22,High,0.738728520466625,73.87,High,0.01344144562759908,agree,6,2,urgent_review,94.33,97.44,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 6 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,18
Unity Infraprojects,L99999MH1997PLC107153,Infrastructure,defaulter,2015,0.7521688767077853,75.22,High,0.7374355900516535,73.74,High,0.014733286656131828,agree,8,4,urgent_review,94.0,92.16,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,19
Monnet Ispat & Energy Ltd,L02710CT1990PLC009826,Steel & Metals,defaulter,2016,0.7521646223300682,75.22,High,0.7362465282127383,73.62,High,0.015918094117329917,agree,7,3,urgent_review,93.67,87.5,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,20
C Mahendra Exports Limited,L27205MH2007PLC166717,Gems & Jewellery,defaulter,2015,0.7521617379376481,75.22,High,0.737206991885542,73.72,High,0.014954746052106116,agree,9,4,urgent_review,93.33,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,21
Gammon India Ltd,L74999DL1922PLC000997,Infrastructure,defaulter,2014,0.7521609080212727,75.22,High,0.6975630147663229,69.76,High,0.05459789325494979,agree,4,3,urgent_review,93.0,90.2,100.0,0.0,"Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue. | Contingent liabilities exceed 50% of net worth.",excessive_leverage|negative_operating_cash_flow|large_contingent_liabilities|declining_revenue_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.; Contingent liabilities exceed 50% of net worth.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,22
JVL Agro Industries,L15140UP1989PLC011396,FMCG / Foods / Agro,defaulter,2018,0.7521601957011319,75.22,High,0.7334623655873772,73.35,High,0.0186978301137547,agree,5,2,urgent_review,92.67,61.9,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Operating cash flow is negative despite positive revenue. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_operating_cash_flow|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Operating cash flow is negative despite positive revenue.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,23
Surya Pharmaceutical,L24232DL1992PLC227186,Pharma,defaulter,2012,0.7521590170595717,75.22,High,0.6382303543255353,63.82,High,0.11392866273403635,agree,8,5,urgent_review,92.33,91.67,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.",weak_interest_coverage|excessive_leverage|weak_liquidity|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,24
Punj Lloyd Ltd,L74899DL1988PLC033314,Infrastructure,defaulter,2017,0.7521581345311967,75.22,High,0.7155202324894491,71.55,High,0.03663790204174766,agree,4,3,urgent_review,92.0,88.24,80.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|leverage_spike,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,25
Moser Baer India,L51909DL1983PLC015418,Engineering / Manufacturing,defaulter,2013,0.7521486953250259,75.21,High,0.7387040416584065,73.87,High,0.0134446536666194,agree,5,2,urgent_review,91.67,94.87,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend,"ML probability 0.752 against threshold 0.400. 5 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,26
Metalyst Forgings,L28910MH1977PLC019569,Engineering / Manufacturing,defaulter,2016,0.7521466429126548,75.21,High,0.7377921249189084,73.78,High,0.014354517993746319,agree,8,3,urgent_review,91.33,92.31,91.67,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Net profit margin is negative.",weak_interest_coverage|excessive_leverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,27
SVOGL Oil Gas and Energy,L74899DL1989PLC038542,Oil & Gas / Energy,defaulter,2015,0.752140713637933,75.21,High,0.7387263466863714,73.87,High,0.013414366951561618,agree,9,4,urgent_review,91.0,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,28
ABG Shipyard Ltd,L61200GJ1985PLC007730,Shipbuilding,defaulter,2016,0.752130758736122,75.21,High,0.7387284424621853,73.87,High,0.013402316273936732,agree,8,4,urgent_review,90.67,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|weak_liquidity|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 8 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,29
Simbhaoli Sugars Ltd,L15122UP2011PLC044210,FMCG / Foods / Agro,defaulter,2021,0.7521301047733483,75.21,High,0.7371562970220944,73.72,High,0.014973807751253898,agree,4,2,urgent_review,90.33,57.14,66.67,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Net profit margin is negative. | Revenue trend over the available years is negative.",weak_interest_coverage|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend,"ML probability 0.752 against threshold 0.400. 4 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Net profit margin is negative.; Revenue trend over the available years is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,30
Surya Pharmaceutical,L24232DL1992PLC227186,Pharma,defaulter,2014,0.7521260838627655,75.21,High,0.7387286432623204,73.87,High,0.01339744060044512,agree,7,3,urgent_review,89.67,83.33,100.0,0.3333333333333333,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Current ratio is below 1, indicating a short-term liquidity deficit. | Net profit margin is negative.",weak_interest_coverage|weak_liquidity|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|margin_drop,"ML probability 0.752 against threshold 0.400. 7 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Current ratio is below 1, indicating a short-term liquidity deficit.; Net profit margin is negative.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,32
Deccan Chronicle Holdings,L22122TG2002PLC040110,Media,defaulter,2012,0.7521225998325616,75.21,High,0.7376360762920343,73.76,High,0.014486523540527263,agree,10,5,urgent_review,89.0,100.0,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Current ratio is below 1, indicating a short-term liquidity deficit.",weak_interest_coverage|excessive_leverage|weak_liquidity|negative_profit_margin|large_contingent_liabilities|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 10 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Current ratio is below 1, indicating a short-term liquidity deficit.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,34
SVOGL Oil Gas and Energy,L74899DL1989PLC038542,Oil & Gas / Energy,defaulter,2014,0.7521202462350157,75.21,High,0.7387213011878774,73.87,High,0.013398945047138344,agree,9,4,urgent_review,88.67,83.33,100.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,35
Pratibha Industries,L45200MH1995PLC090760,Infrastructure,defaulter,2017,0.7521096697389213,75.21,High,0.7383726160091044,73.84,High,0.013737053729816928,agree,9,4,urgent_review,88.33,86.27,60.0,0.0,"Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs. | Debt-to-equity is above 2, indicating elevated leverage. | Operating cash flow is negative despite positive revenue.",weak_interest_coverage|excessive_leverage|negative_operating_cash_flow|negative_profit_margin|declining_revenue_trend|declining_cash_flow_trend|rising_borrowings_trend|leverage_spike|margin_drop,"ML probability 0.752 against threshold 0.400. 9 rule-based red flag(s) were triggered. Key reasons: Interest coverage is below 1, suggesting operating earnings may not comfortably cover finance costs.; Debt-to-equity is above 2, indicating elevated leverage.; Operating cash flow is negative despite positive revenue.",hist_gradient_boosting,logistic_regression,tier1a_v1,tier1a_v1,0.39999999999999986,0.4199999999999998,1,1,36
